idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
735,91,271,1,20/12/2002,5487130
736,95,194,15,17/01/2005,7973810
737,80,4,27,28/02/2007,539059
738,24,15,7,21/11/2002,1431562
739,67,158,22,11/11/2003,3024821
740,60,151,15,17/04/2012,4075361
741,65,134,20,11/11/2006,1824214
742,76,264,41,05/06/2015,8068466
743,6,111,11,28/08/2015,3279440
744,69,154,32,09/05/2008,8855155
745,66,87,43,20/07/2010,8093587
746,65,276,31,05/01/2013,6264424
747,71,242,47,11/08/2001,8801287
748,38,176,38,28/01/2011,6598884
749,28,90,23,02/04/2014,9038010
750,20,42,46,30/08/2004,2034203
751,58,62,9,17/10/2013,9757300
752,16,106,12,11/09/2005,7288713
753,87,205,15,07/05/2007,7890951
754,17,105,6,19/10/2004,4980931
755,1,25,40,19/09/2004,1884401
756,33,5,40,17/11/2015,3260739
757,35,191,33,26/09/2012,6136819
758,29,147,49,08/12/2006,4587460
759,71,92,4,12/02/2014,6133619
760,55,132,42,04/06/2014,2244357
761,39,2,8,23/08/2012,8766506
762,62,220,17,18/08/2008,8859527
763,68,194,34,17/08/2004,1491644
764,47,183,22,08/03/2010,2196093
765,80,281,39,19/05/2003,9722350
766,19,204,46,06/02/2003,9964269
767,12,77,34,04/01/2001,4600225
768,10,267,24,31/08/2003,4363634
769,29,269,13,25/02/2005,9125228
770,37,24,32,20/01/2010,8671320
771,57,214,32,21/08/2000,8298710
772,11,160,29,11/04/2010,2541570
773,94,184,14,14/01/2013,1403833
774,75,1,42,14/12/2008,8570334
775,100,63,15,20/04/2001,6310081
776,17,172,38,17/09/2012,3130867
777,17,126,21,26/01/2007,8483607
778,2,245,40,13/07/2008,6324164
779,85,31,2,02/02/2011,3209477
780,55,98,7,25/11/2009,3109880
781,41,238,41,15/07/2006,884610
782,19,31,34,24/12/2011,9218958
783,38,254,42,17/06/2005,4148868
784,40,24,35,17/12/2007,2587768
785,91,299,28,12/09/2001,1962961
786,9,165,44,16/04/2003,9529177
787,48,51,15,06/04/2014,2262446
788,77,225,22,17/08/2013,9496985
789,35,237,21,03/03/2013,9461266
790,12,208,10,30/10/2009,4470907
791,98,89,31,28/10/2016,6177762
792,2,18,27,11/01/2007,6068014
793,95,191,50,16/07/2015,1907075
794,98,28,17,20/07/2004,7173992
795,98,105,4,10/03/2007,8555383
796,6,19,26,20/09/2016,2941608
797,71,242,48,08/08/2002,8834979
798,73,296,7,31/10/2007,2456329
799,52,242,6,28/05/2005,3179855
800,7,172,47,23/02/2007,4117393
801,38,238,6,28/10/2003,4474871
802,16,136,33,12/09/2001,7602145
803,11,119,14,25/02/2017,7043101
804,39,287,9,01/08/2011,9381462
805,98,145,25,10/08/2011,4585503
806,75,204,18,02/04/2007,5303586
807,83,125,12,18/03/2012,1115920
808,27,167,47,26/11/2007,699429
809,25,149,2,03/11/2003,2255590
810,69,31,17,03/04/2016,4613430
811,76,17,31,21/01/2009,1838994
812,82,178,40,19/08/2009,5123438
813,20,113,26,30/10/2004,4366525
814,66,298,10,10/11/2007,8949004
815,51,64,32,18/09/2009,6467099
816,100,298,14,26/04/2006,1110421
817,37,5,34,17/07/2008,1403515
818,35,209,30,23/10/2016,9012825
819,71,268,4,12/11/2005,5253243
820,99,187,28,08/03/2008,2407815
821,41,2,49,19/09/2010,3266422
822,93,299,5,11/09/2015,6778107
823,59,104,50,25/01/2003,4364814
824,52,46,17,21/02/2009,5928672
825,50,270,19,12/01/2012,8399217
826,57,111,45,24/02/2017,8846191
827,56,184,47,02/07/2013,8360948
828,74,28,47,15/11/2006,3009760
829,74,240,34,25/03/2006,9739317
830,38,289,50,31/08/2002,6416321
831,77,117,45,20/09/2006,5078938
832,42,111,26,05/03/2011,7401376
833,32,246,10,08/12/2014,2088187
834,77,175,31,25/12/2006,4384166
835,70,57,32,05/07/2004,9876945
836,13,43,32,21/10/2007,7902816
837,89,246,2,21/06/2011,5684231
838,53,9,17,29/11/2009,1681904
839,51,145,30,15/06/2008,6494215
840,39,64,29,08/06/2007,3179423
841,44,268,41,28/09/2006,1340570
842,97,54,8,14/09/2002,4786856
843,11,288,9,01/09/2005,7404326
844,90,147,29,08/03/2002,3514215
845,76,168,50,20/01/2008,5395729
846,100,291,41,19/10/2005,8217575
847,53,284,30,07/01/2015,8182759
848,55,135,4,22/10/2013,9332643
849,35,99,48,29/04/2010,1171787
850,21,35,34,05/02/2002,4494638
851,73,61,44,26/11/2002,7586873
852,40,290,39,24/02/2011,3959214
853,28,77,8,04/12/2008,7283621
854,22,119,18,15/10/2014,8663810
855,77,165,21,03/06/2005,5783711
856,21,19,45,28/03/2016,8257324
857,55,8,5,15/05/2006,8967563
858,17,209,49,03/08/2004,2697135
859,39,272,27,16/03/2010,1600012
860,27,160,15,03/05/2001,3738570
861,56,209,43,06/12/2001,9041413
862,32,15,7,01/08/2009,2538692
863,83,40,11,25/09/2004,2011804
864,97,255,29,10/01/2017,4361410
865,99,294,43,03/04/2014,8723327
866,7,243,27,02/09/2004,7699173
867,12,94,1,28/02/2005,5783732
868,19,162,39,12/11/2011,9940472
869,72,236,5,19/08/2006,6811479
870,65,8,42,24/08/2008,8335143
871,70,192,43,10/04/2017,3288762
872,45,36,21,03/11/2014,4882724
873,66,210,39,03/03/2017,7880814
874,2,222,7,31/05/2007,9935057
875,54,38,31,11/07/2000,1466866
876,17,173,25,06/11/2001,8604224
877,59,186,44,07/03/2008,7238185
878,26,222,2,29/10/2016,9333497
879,68,267,41,06/11/2005,1377815
880,82,275,35,14/09/2009,3930674
881,42,262,9,04/04/2006,6623103
882,80,19,26,04/07/2002,5048877
883,76,196,7,02/10/2009,6465601
884,6,35,10,10/04/2017,8288627
885,39,243,1,04/01/2006,9709181
886,93,276,47,16/08/2010,1624062
887,46,267,24,15/12/2010,9924350
888,38,152,4,01/01/2017,6957583
889,35,249,5,29/10/2015,4994656
890,33,170,28,20/04/2016,8748209
891,21,243,42,27/07/2000,8116512
892,39,42,7,26/08/2006,7456545
893,98,139,29,05/10/2013,655473
894,57,40,46,24/10/2005,5912097
895,22,47,49,12/02/2014,5530575
896,6,190,13,15/11/2012,7728148
897,52,58,14,05/08/2008,5308836
898,84,183,29,10/10/2008,9500346
899,7,295,42,03/03/2009,2136892
900,5,53,14,15/12/2001,709526
901,8,59,40,09/06/2000,9043958
902,7,23,49,07/09/2015,8596215
903,77,11,24,24/03/2008,7250344
904,61,179,27,09/04/2011,9051186
905,33,107,27,12/09/2016,8625890
906,93,82,14,26/12/2003,1092048
907,77,258,6,21/08/2014,1860931
908,33,161,46,01/09/2014,7926161
909,54,155,29,12/08/2014,2854816
910,11,150,15,24/03/2005,8222165
911,68,165,20,22/10/2012,9327429
912,29,214,18,05/03/2012,2285417
913,84,86,2,02/01/2009,5554171
914,92,295,18,27/03/2014,1359209
915,21,187,1,04/06/2015,4726875
916,11,265,9,16/02/2003,9535204
917,74,137,18,21/08/2005,2559715
918,72,35,28,03/09/2012,1894941
919,16,289,43,24/02/2011,3476809
920,53,47,15,16/03/2005,6924291
921,13,232,12,06/07/2016,7405761
922,17,198,23,25/04/2012,4433824
923,95,153,46,21/06/2001,4948303
924,64,122,27,05/12/2013,2449893
925,45,172,46,27/12/2014,9485311
926,45,216,26,23/08/2002,7543563
927,80,194,45,19/09/2011,3964864
928,32,265,38,07/08/2016,1609733
929,63,92,10,02/07/2009,7528431
930,29,71,37,01/10/2012,9288447
931,19,142,19,01/07/2016,3576599
932,40,141,31,20/09/2005,6170128
933,22,94,42,14/03/2013,6565374
934,71,116,24,06/02/2006,8564452
935,51,163,14,07/01/2003,4923006
936,74,112,21,20/09/2012,4798963
937,88,215,13,27/02/2016,1010300
938,100,277,29,13/06/2000,1682133
939,76,116,12,24/09/2016,7071979
940,87,179,12,10/04/2007,1492931
941,68,226,24,22/05/2005,2078747
942,96,39,16,23/03/2003,2731762
943,92,198,19,16/03/2003,3903830
944,57,243,39,07/10/2004,9313560
945,83,219,40,30/03/2001,4692234
946,83,68,13,08/06/2008,7214038
947,18,253,46,24/04/2006,3477082
948,2,203,17,07/07/2003,5880136
949,87,39,45,01/05/2016,7414494
950,49,260,24,30/11/2016,8107431
951,75,229,49,04/03/2011,5779286
952,10,170,36,24/01/2015,5070149
953,38,203,21,20/07/2002,3143377
954,50,41,15,30/09/2006,5502970
955,35,274,46,18/11/2011,2669043
956,5,164,3,16/05/2009,9293910
957,33,184,12,16/07/2004,1124389
958,86,42,24,06/08/2007,4527954
959,43,202,3,16/01/2008,7305071
960,61,105,29,20/09/2007,7037315
961,24,26,7,14/11/2007,5038502
962,64,194,10,27/09/2015,4518465
963,75,161,7,09/12/2015,7430815
964,58,275,33,29/06/2004,7107653
965,74,175,10,11/03/2008,8959344
966,92,62,30,28/04/2006,6582289
967,96,128,50,14/04/2012,9992282
968,100,191,40,31/10/2013,9088503
969,62,272,39,02/04/2011,4977092
970,63,148,40,19/12/2012,5063390
971,41,64,38,24/10/2011,4937901
972,31,228,7,29/08/2007,6947640
973,57,170,44,12/06/2009,8569958
974,98,235,9,05/04/2017,6526723
975,4,56,20,12/07/2010,5247448
976,2,98,34,29/07/2006,6801415
977,54,278,21,08/01/2005,6753508
978,86,15,36,22/02/2007,7064535
979,90,222,49,17/11/2012,2160519
980,95,245,11,15/09/2002,728615
981,43,202,2,15/10/2009,2248508
982,67,185,39,22/10/2002,4250435
983,91,261,14,29/05/2007,6204672
984,99,298,20,19/08/2004,5338066
985,67,110,44,23/01/2013,5667251
986,15,72,9,02/04/2002,3408432
987,5,42,27,14/04/2013,9975976
988,11,41,45,28/04/2003,9767388
989,66,75,40,15/01/2009,7044612
990,15,185,21,08/10/2004,6525326
991,3,281,34,12/05/2013,5972921
992,14,26,26,27/05/2001,1551410
993,66,31,43,10/10/2007,3165760
994,79,209,28,31/01/2014,4323181
995,27,144,38,01/07/2009,2570361
996,34,189,8,24/06/2009,3578293
997,16,81,42,07/12/2016,1865165
998,92,12,42,06/07/2016,6532485
999,32,104,34,11/08/2015,7555397
1000,54,27,33,29/11/2004,789333
